cite_num,author_year,original_pmid,correct_pmid,pmid_status,claim_text,claim_verified,verification_source,notes
31,Roche 2019,—,—,PRIMARY_SOURCE,"Avastin peak global revenues >$7 billion",UNVERIFIED,Roche Annual Report 2019,Primary source: Roche investor relations
32,Chinot 2014,24552318,24552318,CONFIRMED,"AVAglio: PFS HR 0.64 (p<0.001); OS HR 0.88 (p=0.10) — no survival benefit",TRUE,PubMed abstract,NEJM 2014;370(8):709-722
33,Gilbert 2014,24552317,24552317,CONFIRMED,"RTOG 0825: PFS HR 0.79; OS HR 1.13 — no survival benefit",TRUE,PubMed abstract,NEJM 2014;370(8):699-708
34,Hamburg 2011,—,—,FDA_PRIMARY,"FDA revokes bevacizumab breast cancer indication November 18 2011",TRUE,FDA primary source,FDA Commissioner statement
35,Tanne 2011,22031559,22121166,CORRECTED,"FDA cancels approval for bevacizumab in advanced breast cancer",TRUE,PubMed abstract,BMJ 2011;343:d7684 — PMID corrected
36,Hey & Gyawali 2020,31740720,31651981,CORRECTED,"Bevacizumab breast meta-analysis: PFS HR 0.72; OS HR 0.90 (NS)",TRUE,PubMed abstract,JNCI 2020;112(4):335-342 — PMID corrected
37,Michaeli 2022,35235601,35921606,CORRECTED,"FDA cancer drug approvals 2003-2021: OS HR 0.73 vs PFS HR 0.57",TRUE,PubMed abstract,J Clin Oncol 2022;40(35):4095-4106 — PMID corrected
38,Gyawali 2020,32122523,32382717,CORRECTED_PARTIAL,"FDA surrogate endpoints: none of 5 breast cancer surrogates show strong OS correlation (R²<0.85)",PARTIAL,PubMed abstract,EClinicalMedicine 2020;21:100332 — PMID corrected; 32% figure not in abstract; claim softened
39,Pasalic 2020,32561916,32702645,CORRECTED,"PFS suboptimal predictor for OS in metastatic solid tumour trials",TRUE,PubMed abstract,Eur J Cancer 2020;136:176-185 — PMID corrected
40,Lucio-Eterovic 2009,19671869,19567589,CORRECTED,"Anti-VEGF therapy upregulates MMP-2/MMP-9/MMP-12 in GBM",TRUE,PubMed abstract,Clin Cancer Res 2009;15(14):4589-4599 — PMID corrected
41,Chandra 2020,32213556,32041837,CORRECTED,"ZEB1-driven mesenchymal transition promotes bevacizumab resistance in GBM",TRUE,PubMed abstract,Cancer Res 2020;80(7):1498-1511 — PMID corrected
42,Lodha 2025,39979527,41125665,CORRECTED,"EGR1 upregulation drives bevacizumab resistance in GBM",TRUE,PubMed abstract,Sci Rep 2025;15(1):36860 — PMID corrected
43,Hay 2014,24406927,24406927,CONFIRMED,"Overall Phase I-to-approval probability ~10.4%",TRUE,PubMed abstract,Nat Biotechnol 2014;32(1):40-51
44,Wong 2018,29394327,29394327,CONFIRMED,"Oncology-specific Phase I-to-approval rate 3.4%",TRUE,PubMed abstract,Biostatistics 2019;20(2):273-286
45,Dowden & Munro 2019,30745573,NOT_FOUND,UNRESOLVED,"Probability of launch from Phase I <10%",UNVERIFIED,PubMed search,PMID not found; claim supported by [43] and [44]
46,Gan 2012,22491345,22491345,CONFIRMED,"62.5% of 253 Phase III RCTs failed (158/253)",TRUE,PubMed abstract,JNCI 2012;104(8):590-598
47,Jardim 2017,27883925,27883925,CONFIRMED,"16% of failed programs vs 57% of successful programs used biomarker selection (P<0.001)",TRUE,PubMed abstract,JNCI 2017;109(12):djx110
48,Schwaederle 2016,27273579,27273579,CONFIRMED,"Biomarker-selected arms: 30.6% vs 4.9% response rate (P<0.001)",TRUE,PubMed abstract,JAMA Oncol 2016;2(11):1452-1459
49,Eng 2019,31003911,31003911,CONFIRMED,"IMblaze370: OS HR 1.00 (95% CI 0.73-1.38; p=0.99)",TRUE,PubMed abstract,Lancet Oncol 2019;20(6):849-861
50,Shah 2021,34620496,34620496,CONFIRMED,"CAPRI: 0 RECIST responses; BRCA1 patients showed greatest disease burden reduction",TRUE,PubMed abstract,Clin Cancer Res 2021;27(21):5787-5794
51,Freidlin & Korn 2014,—,—,NO_PMID,"Biomarker-stratified enrollment conditions",UNVERIFIED,No PMID,Nat Rev Clin Oncol 2014;11(2):81-90
52,Mandrekar & Sargent 2009,—,—,NO_PMID,"Taxonomy of enrichment vs all-comers designs",UNVERIFIED,No PMID,J Clin Oncol 2009;27(24):4027-4034
53,Beaubier 2019,31477929,31570899,CORRECTED,"RNA-seq + DNA panel: 29.6% to 43.4% precision therapy matching",TRUE,PubMed abstract,Nat Biotechnol 2019;37(11):1351-1360 — PMID corrected
54,AACR 2024 LB340,—,—,CONFERENCE_ABSTRACT,"609-patient cohort: 54% precision-ineligible under standard criteria",UNVERIFIED,Conference abstract,AACR Annual Meeting 2024 Abstract LB340 — not indexed in PubMed
55,Translating RNA-seq 2016,26996076,26996076,CONFIRMED,"RNA expression data contributed to 67% of treatment decisions; 25% RNA-only",TRUE,PubMed abstract,Nat Rev Genet 2016
56,Sakai 2008,18264087,18264087,CONFIRMED,"BRCA/PARP synthetic lethality paradigm",TRUE,PubMed abstract,Nature 2008
57,Patch 2015,26017449,26017449,CONFIRMED,"BRCA/PARP synthetic lethality paradigm",TRUE,PubMed abstract,Nature 2015
58,Lee 2021,33857424,33857424,CONFIRMED,"SELECT framework: 80% predictive accuracy in 35 clinical trials across 10 cancer types",TRUE,PubMed abstract,Cell 2021;184(9):2487-2502
59,Dinstag 2022,36513065,36513065,CONFIRMED,"ENLIGHT: OR >4 for immune checkpoint response prediction",TRUE,PubMed abstract,Cell Genomics 2022
60,Schwaederle 2015,—,—,NO_PMID,"Personalized therapy: 48% vs 23% response rate; longer PFS and OS",UNVERIFIED,No PMID,J Clin Oncol 2015;33(32):3817-3825
